日期,时间,标题,标题(中文),摘要,摘要(中文),来源,标签,链接,点赞,分享,评论
2026-04-12,02:15:54,"US and Iran fail to reach agreement after historic peace talks in Pakistan, Vance says","美国 和 伊朗 fail reach agreement after historic peace talks Pakistan, Vance 表示","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,474,277,61
2026-04-12,02:15:54,"Vice-President JD Vance says Tehran must make a "fundamental commitment" not to develop nuclear weapons. Iran says the US should refrain from "excessive demands".","Vice-总统 JD Vance 表示 德黑兰 must make "fundamental commitment" not develop 核武器 weapons. 伊朗 表示 美国 should refrain "excessive demands".","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,382,24,190
2026-04-12,02:15:54,"Hungarians decide whether to end 16 years of Orbán rule and elect rival","Hungarians decide whether end 16 years of Orbán rule 和 elect rival","","",BBC,"其他",https://www.bbc.com/news/world,877,180,148
2026-04-12,02:15:54,"Knifeman calling himself 'Lucifer' slashes three at NYC's Grand Central","Knifeman calling himself 'Lucifer' slashes three NYC's Grand Central","","",BBC,"其他",https://www.bbc.com/news/world,616,153,51
2026-04-12,02:15:54,"Police fatally shot the assailant after he ignored at least 20 demands to drop the weapon, said NYPD.","Police fatally shot assailant after he ignored least 20 demands drop 武器, 表示 NYPD.","","",BBC,"其他",https://www.bbc.com/news/world,662,314,8
2026-04-12,02:15:54,"Coachella kicks off with Sabrina Carpenter and surprise guests","Coachella kicks off Sabrina Carpenter 和 surprise guests","","",BBC,"其他",https://www.bbc.com/news/world,560,144,84
2026-04-12,02:15:54,"The festival in California was also forced to cancel a set by DJ Anyma on Friday because of strong winds.","festival California also forced cancel set DJ Anyma Friday because of strong winds.","","",BBC,"美国",https://www.bbc.com/news/world,352,421,129
2026-04-12,02:15:54,"'It's a special thing to be on Planet Earth': Artemis crew welcomed home in Houston","'It's special thing be Planet Earth': Artemis crew welcomed home Houston","","",BBC,"美国",https://www.bbc.com/news/world,154,342,181
2026-04-12,02:15:54,"Why this disillusioned Trump voter spends hours searching Epstein files","Why this disillusioned Trump voter spends hours searching Epstein files","","",BBC,"美国",https://www.bbc.com/news/world,873,255,189
2026-04-12,02:15:54,"Prosecutor probes abuse claims against C","Prosecutor probes abuse claims 反对 C","","",BBC,"美国",https://www.bbc.com/news/world,77,498,1
2026-04-12,03:16:25,"Click to pause breaking news ticker","Click pause breaking news ticker","","",Al Jazeera,"美国",https://www.aljazeera.com/news,23,33,66
2026-04-12,03:16:25,"Vance says no deal reached with Iran, US has made ‘best and final offer’","Vance 表示 no deal reached 伊朗, 美国 made ‘best 和 final offer’","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,560,0,20
2026-04-12,03:16:25,"Fury beats Makhmudov in heavyweight boxing comeback, then calls out Joshua","Fury beats Makhmudov heavyweight boxing comeback, then calls out Joshua","","",Al Jazeera,"其他",https://www.aljazeera.com/news,748,318,13
2026-04-12,03:16:25,"Pope Leo urges world leaders to reject war and negotiate peace","Pope Leo urges world leaders reject 战争 和 negotiate peace","","",Al Jazeera,"其他",https://www.aljazeera.com/news,671,311,36
2026-04-12,03:16:25,"Israeli strikes kill at least 18 people across southern Lebanon","以色列 strikes kill least 18 people across 南部 Lebanon","","",Al Jazeera,"以色列",https://www.aljazeera.com/news,356,289,15
2026-04-12,03:16:25,"US says two naval ships ‘transited’ Strait of Hormuz for mine-clearing","美国 表示 two naval ships ‘transited’ Strait of Hormuz mine-clearing","","",Al Jazeera,"美国",https://www.aljazeera.com/news,449,120,47
2026-04-12,03:16:25,"Pakistan sends fighter jets to Saudi Arabia amid fragile US-Iran ceasefire","Pakistan sends fighter jets Saudi Arabia amid fragile 美国-伊朗 停火","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,408,222,86
2026-04-12,03:16:25,"Yamal scores and sets up two by Ferran as Barcelona cash in on Madrid loss","Yamal scores 和 sets up two Ferran 作为 Barcelona cash Madrid loss","","",Al Jazeera,"其他",https://www.aljazeera.com/news,473,360,8
2026-04-12,04:15:50,"The US vice-president says Tehran must make a "fundamental commitment" not to develop nuclear weapons. Iran says the US should refrain from "excessive demands".","美国 vice-总统 表示 德黑兰 must make "fundamental commitment" not develop 核武器 weapons. 伊朗 表示 美国 should refrain "excessive demands".","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,85,400,123
2026-04-12,04:15:50,"Prosecutor probes abuse claims against","Prosecutor probes abuse claims 反对","","",BBC,"美国",https://www.bbc.com/news/world,295,189,48
2026-04-12,04:16:04,"Iran must not be allowed charge tolls in Strait of Hormuz, UN watchdog says","伊朗 must not be allowed charge tolls Strait of Hormuz, UN watchdog 表示","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,557,112,148
2026-04-12,04:16:04,"JD Vance leaves Pakistan after talks with Iran end without a deal","JD Vance leaves Pakistan after talks 伊朗 end deal","","",Al Jazeera,"伊朗",https://www.aljazeera.com/news,354,305,86
2026-04-12,04:16:04,"Yamal scores and sets up two by Fe","Yamal scores 和 sets up two Fe","","",Al Jazeera,"其他",https://www.aljazeera.com/news,81,127,4
